NL Sentence
"In frame 6 of sequence 'adl-01', the person is normal. The body height to width ratio is 6.32, major to minor axis ratio is 8.22, bounding box occupancy is 0.49, spread on XZ axes is 140.77, height-to-standing ratio is 0.96, body height is 1761.2 mm, distance from floor is 927.3 mm, and floor contact ratio is 0.0261."
"In frame 69 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.55, major to minor axis ratio is 3.10, bounding box occupancy is 0.47, spread on XZ axes is 123.30, height-to-standing ratio is 0.82, body height is 1517.7 mm, distance from floor is 852.4 mm, and floor contact ratio is 0.1618."
"In frame 70 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.98, major to minor axis ratio is 3.70, bounding box occupancy is 0.53, spread on XZ axes is 116.04, height-to-standing ratio is 0.80, body height is 1475.3 mm, distance from floor is 813.4 mm, and floor contact ratio is 0.1877."
"In frame 71 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.25, major to minor axis ratio is 3.86, bounding box occupancy is 0.58, spread on XZ axes is 122.81, height-to-standing ratio is 0.80, body height is 1477.4 mm, distance from floor is 797.5 mm, and floor contact ratio is 0.2017."
"In frame 72 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.75, major to minor axis ratio is 3.61, bounding box occupancy is 0.48, spread on XZ axes is 133.98, height-to-standing ratio is 0.81, body height is 1486.4 mm, distance from floor is 797.6 mm, and floor contact ratio is 0.1983."
"In frame 73 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.75, major to minor axis ratio is 3.47, bounding box occupancy is 0.60, spread on XZ axes is 135.88, height-to-standing ratio is 0.64, body height is 1169.2 mm, distance from floor is 662.7 mm, and floor contact ratio is 0.2634."
"In frame 74 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.63, major to minor axis ratio is 3.39, bounding box occupancy is 0.48, spread on XZ axes is 143.34, height-to-standing ratio is 0.80, body height is 1481.0 mm, distance from floor is 802.4 mm, and floor contact ratio is 0.1984."
"In frame 75 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.39, major to minor axis ratio is 3.30, bounding box occupancy is 0.44, spread on XZ axes is 145.31, height-to-standing ratio is 0.81, body height is 1488.9 mm, distance from floor is 810.2 mm, and floor contact ratio is 0.1913."
"In frame 76 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.68, major to minor axis ratio is 3.40, bounding box occupancy is 0.49, spread on XZ axes is 147.23, height-to-standing ratio is 0.79, body height is 1461.2 mm, distance from floor is 795.6 mm, and floor contact ratio is 0.1921."
"In frame 77 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.70, major to minor axis ratio is 3.53, bounding box occupancy is 0.50, spread on XZ axes is 146.53, height-to-standing ratio is 0.82, body height is 1504.5 mm, distance from floor is 802.0 mm, and floor contact ratio is 0.1840."
"In frame 78 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.87, major to minor axis ratio is 3.51, bounding box occupancy is 0.54, spread on XZ axes is 151.91, height-to-standing ratio is 0.80, body height is 1475.9 mm, distance from floor is 804.7 mm, and floor contact ratio is 0.1726."
"In frame 79 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.64, major to minor axis ratio is 3.49, bounding box occupancy is 0.50, spread on XZ axes is 148.80, height-to-standing ratio is 0.80, body height is 1477.1 mm, distance from floor is 794.3 mm, and floor contact ratio is 0.1783."
"In frame 80 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.10, major to minor axis ratio is 3.60, bounding box occupancy is 0.60, spread on XZ axes is 143.00, height-to-standing ratio is 0.80, body height is 1464.9 mm, distance from floor is 798.5 mm, and floor contact ratio is 0.1681."
"In frame 81 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.28, major to minor axis ratio is 3.85, bounding box occupancy is 0.60, spread on XZ axes is 106.79, height-to-standing ratio is 0.81, body height is 1489.8 mm, distance from floor is 788.4 mm, and floor contact ratio is 0.1788."
"In frame 82 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.24, major to minor axis ratio is 3.93, bounding box occupancy is 0.61, spread on XZ axes is 105.34, height-to-standing ratio is 0.81, body height is 1489.8 mm, distance from floor is 776.7 mm, and floor contact ratio is 0.1946."
"In frame 83 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.22, major to minor axis ratio is 3.90, bounding box occupancy is 0.64, spread on XZ axes is 105.44, height-to-standing ratio is 0.79, body height is 1461.0 mm, distance from floor is 752.0 mm, and floor contact ratio is 0.2225."
"In frame 84 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.17, major to minor axis ratio is 3.91, bounding box occupancy is 0.66, spread on XZ axes is 103.99, height-to-standing ratio is 0.79, body height is 1458.6 mm, distance from floor is 722.5 mm, and floor contact ratio is 0.2531."
"In frame 85 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.30, major to minor axis ratio is 3.86, bounding box occupancy is 0.68, spread on XZ axes is 101.95, height-to-standing ratio is 0.80, body height is 1472.8 mm, distance from floor is 711.3 mm, and floor contact ratio is 0.2675."
"In frame 86 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.98, major to minor axis ratio is 3.73, bounding box occupancy is 0.61, spread on XZ axes is 101.39, height-to-standing ratio is 0.80, body height is 1467.0 mm, distance from floor is 712.2 mm, and floor contact ratio is 0.2631."
"In frame 87 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.83, major to minor axis ratio is 3.61, bounding box occupancy is 0.57, spread on XZ axes is 105.44, height-to-standing ratio is 0.79, body height is 1456.6 mm, distance from floor is 711.8 mm, and floor contact ratio is 0.2642."
"In frame 88 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.66, major to minor axis ratio is 3.55, bounding box occupancy is 0.55, spread on XZ axes is 108.39, height-to-standing ratio is 0.79, body height is 1454.2 mm, distance from floor is 711.7 mm, and floor contact ratio is 0.2658."
"In frame 89 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.58, major to minor axis ratio is 3.45, bounding box occupancy is 0.53, spread on XZ axes is 110.79, height-to-standing ratio is 0.79, body height is 1453.9 mm, distance from floor is 706.5 mm, and floor contact ratio is 0.2687."
"In frame 90 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.65, major to minor axis ratio is 3.44, bounding box occupancy is 0.56, spread on XZ axes is 109.08, height-to-standing ratio is 0.78, body height is 1433.6 mm, distance from floor is 701.0 mm, and floor contact ratio is 0.2689."
"In frame 91 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.75, major to minor axis ratio is 3.54, bounding box occupancy is 0.58, spread on XZ axes is 106.62, height-to-standing ratio is 0.78, body height is 1426.5 mm, distance from floor is 711.1 mm, and floor contact ratio is 0.2662."
"In frame 92 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.99, major to minor axis ratio is 3.52, bounding box occupancy is 0.60, spread on XZ axes is 106.05, height-to-standing ratio is 0.79, body height is 1453.7 mm, distance from floor is 705.1 mm, and floor contact ratio is 0.2693."
"In frame 93 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.93, major to minor axis ratio is 3.53, bounding box occupancy is 0.61, spread on XZ axes is 104.95, height-to-standing ratio is 0.77, body height is 1416.2 mm, distance from floor is 695.3 mm, and floor contact ratio is 0.2765."
"In frame 94 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.92, major to minor axis ratio is 3.66, bounding box occupancy is 0.60, spread on XZ axes is 102.51, height-to-standing ratio is 0.77, body height is 1416.6 mm, distance from floor is 699.8 mm, and floor contact ratio is 0.2831."
"In frame 95 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.98, major to minor axis ratio is 3.73, bounding box occupancy is 0.60, spread on XZ axes is 102.11, height-to-standing ratio is 0.77, body height is 1418.0 mm, distance from floor is 698.7 mm, and floor contact ratio is 0.2945."
"In frame 96 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.13, major to minor axis ratio is 3.81, bounding box occupancy is 0.60, spread on XZ axes is 99.21, height-to-standing ratio is 0.76, body height is 1404.5 mm, distance from floor is 698.4 mm, and floor contact ratio is 0.2928."
"In frame 97 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.13, major to minor axis ratio is 3.85, bounding box occupancy is 0.59, spread on XZ axes is 97.33, height-to-standing ratio is 0.76, body height is 1394.2 mm, distance from floor is 703.2 mm, and floor contact ratio is 0.2780."
"In frame 98 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.03, major to minor axis ratio is 3.28, bounding box occupancy is 0.39, spread on XZ axes is 121.20, height-to-standing ratio is 0.79, body height is 1451.7 mm, distance from floor is 781.3 mm, and floor contact ratio is 0.2168."
"In frame 99 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.02, major to minor axis ratio is 3.00, bounding box occupancy is 0.37, spread on XZ axes is 126.35, height-to-standing ratio is 0.80, body height is 1466.7 mm, distance from floor is 796.5 mm, and floor contact ratio is 0.1879."
"In frame 100 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.89, major to minor axis ratio is 2.89, bounding box occupancy is 0.38, spread on XZ axes is 132.07, height-to-standing ratio is 0.78, body height is 1444.2 mm, distance from floor is 777.7 mm, and floor contact ratio is 0.1974."
"In frame 101 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.85, major to minor axis ratio is 2.84, bounding box occupancy is 0.38, spread on XZ axes is 134.78, height-to-standing ratio is 0.77, body height is 1408.0 mm, distance from floor is 754.7 mm, and floor contact ratio is 0.2265."
"In frame 102 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.75, major to minor axis ratio is 2.72, bounding box occupancy is 0.40, spread on XZ axes is 140.69, height-to-standing ratio is 0.75, body height is 1376.7 mm, distance from floor is 728.4 mm, and floor contact ratio is 0.2477."
"In frame 103 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.74, major to minor axis ratio is 2.66, bounding box occupancy is 0.42, spread on XZ axes is 143.09, height-to-standing ratio is 0.74, body height is 1353.6 mm, distance from floor is 711.8 mm, and floor contact ratio is 0.2637."
"In frame 104 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.69, major to minor axis ratio is 2.53, bounding box occupancy is 0.41, spread on XZ axes is 147.89, height-to-standing ratio is 0.73, body height is 1341.8 mm, distance from floor is 710.1 mm, and floor contact ratio is 0.2595."
"In frame 105 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.64, major to minor axis ratio is 2.50, bounding box occupancy is 0.41, spread on XZ axes is 144.96, height-to-standing ratio is 0.70, body height is 1287.1 mm, distance from floor is 704.3 mm, and floor contact ratio is 0.2555."
"In frame 106 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.55, major to minor axis ratio is 2.39, bounding box occupancy is 0.42, spread on XZ axes is 150.56, height-to-standing ratio is 0.70, body height is 1296.0 mm, distance from floor is 712.6 mm, and floor contact ratio is 0.2437."
